date,Total
2011-08,68
2011-09,258
2011-10,294
2012-01,302
2012-02,305
2012-03,728
2012-04,838
2012-05,902
2012-06,1184
2012-07,1697
2012-08,2168
2012-09,2922
2012-10,3938
2012-11,4515
2012-12,4535
2013-01,4593
2013-02,5160
2013-03,5988
2013-04,6139
2013-05,7192
2013-06,8824
2013-07,10471
2013-08,11852
2013-09,12844
2013-10,14412
2013-11,16265
2013-12,18286
2014-01,22062
2014-02,23496
2014-03,25376
2014-04,26991
2014-05,29059
2014-06,30973
2014-07,41675
2014-08,51909
2014-09,65576
